obj,path,mother_clinic,mother_quest,mother,partner_quest,partner_clinic,partner,child_based,child_completed
COVID4_G0Partner_,current/quest/G0/partner,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
COVID4_Mum_,current/quest/G0/partner/,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
COVID4_YP_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
COVID5_G0Dad_,current/quest/G0/partner,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
COVID5_Mum_,current/quest/G0/partner/,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
COVID5_YP_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
COVID6_G0Mum_,current/quest/G0/partner/,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
COVID6_G0partner_,current/quest/G0/partner,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
COVID6_YP_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SERO_G0Partner_,current/quest/G0/partner,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
SERO_Mum_,current/quest/G0/partner/,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
SERO_YP_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
sero2_G0Partner_,current/quest/G0/partner,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
sero2_Mum_,current/quest/G0/partner/,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
sero2_YP_,current/quest/G1/self/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
FPA_,current/quest/G0/partner/,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
FPB_,current/quest/G0/partner/,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
FPC_,current/quest/G0/partner/,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
FPD_,current/quest/G0/partner/,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
FPE_,current/quest/G0/partner/,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
FPF_,current/quest/G0/partner/,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
a_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
b_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
c_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
d_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
e_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
f_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
g_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
h_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
j_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
k_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
l_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
m_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
n_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
p_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
q_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
r_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
s_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
t_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
u_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
v_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
w_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
xa_,current/quest/G0/partner/,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
